symbol,timeframe,bar_time,open,high,low,close
EURUSD,M1,2026-06-10T00:00:00Z,1.15424,1.15431,1.15351,1.15425
EURUSD,M1,2026-06-10T00:01:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:02:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:03:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:04:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:05:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:06:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:07:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:08:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:09:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:10:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:11:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:12:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:13:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:14:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:15:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:16:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:17:00Z,1.15425,1.15425,1.15425,1.15425
EURUSD,M1,2026-06-10T00:18:00Z,1.15425,1.15426,1.15425,1.15426
EURUSD,M1,2026-06-10T00:19:00Z,1.15426,1.15426,1.15426,1.15426
EURUSD,M1,2026-06-10T00:20:00Z,1.15414,1.15414,1.15414,1.15414
EURUSD,M1,2026-06-10T00:21:00Z,1.15414,1.15418,1.15409,1.15418
EURUSD,M1,2026-06-10T00:22:00Z,1.15418,1.15418,1.15417,1.15417
EURUSD,M1,2026-06-10T00:23:00Z,1.15417,1.15417,1.15417,1.15417
EURUSD,M1,2026-06-10T00:24:00Z,1.15417,1.15418,1.15417,1.15418
EURUSD,M1,2026-06-10T00:25:00Z,1.15418,1.15418,1.1539,1.15399
EURUSD,M1,2026-06-10T00:26:00Z,1.15399,1.15399,1.15388,1.15389
EURUSD,M1,2026-06-10T00:27:00Z,1.15389,1.15389,1.15389,1.15389
EURUSD,M1,2026-06-10T00:28:00Z,1.15389,1.1539,1.15387,1.15387
EURUSD,M1,2026-06-10T00:29:00Z,1.15387,1.15391,1.1538599999999999,1.15391
EURUSD,M1,2026-06-10T00:30:00Z,1.1539,1.15391,1.15389,1.15389
EURUSD,M1,2026-06-10T00:31:00Z,1.15389,1.1539,1.15361,1.15362
EURUSD,M1,2026-06-10T00:32:00Z,1.15362,1.15365,1.15361,1.15365
EURUSD,M1,2026-06-10T00:33:00Z,1.15365,1.15366,1.15363,1.15366
EURUSD,M1,2026-06-10T00:34:00Z,1.15366,1.15366,1.15362,1.15363
EURUSD,M1,2026-06-10T00:35:00Z,1.15363,1.15363,1.15363,1.15363
EURUSD,M1,2026-06-10T00:36:00Z,1.15363,1.15364,1.15362,1.15362
EURUSD,M1,2026-06-10T00:37:00Z,1.15362,1.15364,1.15362,1.15364
EURUSD,M1,2026-06-10T00:38:00Z,1.15364,1.15365,1.15364,1.15365
EURUSD,M1,2026-06-10T00:39:00Z,1.15365,1.15365,1.15363,1.15363
EURUSD,M1,2026-06-10T00:40:00Z,1.15363,1.15366,1.15363,1.15366
EURUSD,M1,2026-06-10T00:41:00Z,1.15366,1.15366,1.15365,1.15365
EURUSD,M1,2026-06-10T00:42:00Z,1.15365,1.15366,1.15364,1.15366
EURUSD,M1,2026-06-10T00:43:00Z,1.15366,1.15366,1.15364,1.15364
EURUSD,M1,2026-06-10T00:44:00Z,1.15364,1.15364,1.15351,1.1535199999999999
EURUSD,M1,2026-06-10T00:45:00Z,1.1535199999999999,1.1535199999999999,1.15351,1.15351
EURUSD,M1,2026-06-10T00:46:00Z,1.15351,1.15372,1.15351,1.15372
EURUSD,M1,2026-06-10T00:47:00Z,1.15372,1.15375,1.15371,1.15375
EURUSD,M1,2026-06-10T00:48:00Z,1.15375,1.15379,1.15364,1.15364
EURUSD,M1,2026-06-10T00:49:00Z,1.15364,1.15388,1.15358,1.15372
EURUSD,M1,2026-06-10T00:50:00Z,1.15372,1.15372,1.15371,1.15372
EURUSD,M1,2026-06-10T00:51:00Z,1.15372,1.15372,1.15371,1.15372
EURUSD,M1,2026-06-10T00:52:00Z,1.15372,1.15373,1.15356,1.15356
EURUSD,M1,2026-06-10T00:53:00Z,1.15356,1.15363,1.15356,1.15362
EURUSD,M1,2026-06-10T00:54:00Z,1.15362,1.15362,1.15358,1.1536
EURUSD,M1,2026-06-10T00:55:00Z,1.1536,1.15367,1.15358,1.1536
EURUSD,M1,2026-06-10T00:56:00Z,1.1536,1.1537,1.15359,1.15362
EURUSD,M1,2026-06-10T00:57:00Z,1.15362,1.15363,1.1536,1.1536
EURUSD,M1,2026-06-10T00:58:00Z,1.1536,1.1536,1.15358,1.15358
EURUSD,M1,2026-06-10T00:59:00Z,1.15358,1.15358,1.15358,1.15358
EURUSD,M1,2026-06-10T01:00:00Z,1.15382,1.15401,1.15382,1.15392
EURUSD,M1,2026-06-10T01:01:00Z,1.15391,1.15396,1.1538,1.15381
EURUSD,M1,2026-06-10T01:02:00Z,1.15381,1.15382,1.15365,1.15367
EURUSD,M1,2026-06-10T01:03:00Z,1.15365,1.15377,1.1536,1.15375
EURUSD,M1,2026-06-10T01:04:00Z,1.15375,1.15379,1.15373,1.15378
EURUSD,M1,2026-06-10T01:05:00Z,1.15377,1.1538599999999999,1.15375,1.1538
EURUSD,M1,2026-06-10T01:06:00Z,1.1538,1.1538,1.15371,1.15373
EURUSD,M1,2026-06-10T01:07:00Z,1.1537600000000001,1.1538599999999999,1.1537600000000001,1.1538
EURUSD,M1,2026-06-10T01:08:00Z,1.1538,1.1538,1.15374,1.15378
EURUSD,M1,2026-06-10T01:09:00Z,1.15378,1.15387,1.15377,1.15387
EURUSD,M1,2026-06-10T01:10:00Z,1.1538599999999999,1.15395,1.15385,1.15394
EURUSD,M1,2026-06-10T01:11:00Z,1.15394,1.15396,1.15393,1.15396
EURUSD,M1,2026-06-10T01:12:00Z,1.15396,1.15398,1.15392,1.15394
EURUSD,M1,2026-06-10T01:13:00Z,1.15394,1.15398,1.15383,1.15398
EURUSD,M1,2026-06-10T01:14:00Z,1.15398,1.15399,1.15389,1.1539
EURUSD,M1,2026-06-10T01:15:00Z,1.1539,1.15399,1.1539,1.15396
EURUSD,M1,2026-06-10T01:16:00Z,1.15396,1.15399,1.15394,1.15395
EURUSD,M1,2026-06-10T01:17:00Z,1.15395,1.15397,1.15384,1.15385
EURUSD,M1,2026-06-10T01:18:00Z,1.15384,1.1538599999999999,1.15384,1.1538599999999999
EURUSD,M1,2026-06-10T01:19:00Z,1.1538599999999999,1.15393,1.15385,1.15393
EURUSD,M1,2026-06-10T01:20:00Z,1.15393,1.15396,1.15392,1.15396
EURUSD,M1,2026-06-10T01:21:00Z,1.15396,1.154,1.15396,1.15399
EURUSD,M1,2026-06-10T01:22:00Z,1.154,1.154,1.15397,1.15398
EURUSD,M1,2026-06-10T01:23:00Z,1.15398,1.15398,1.15394,1.15394
EURUSD,M1,2026-06-10T01:24:00Z,1.15394,1.15398,1.15394,1.15397
EURUSD,M1,2026-06-10T01:25:00Z,1.15397,1.154,1.15396,1.15399
EURUSD,M1,2026-06-10T01:26:00Z,1.15399,1.154,1.15397,1.15397
EURUSD,M1,2026-06-10T01:27:00Z,1.15397,1.154,1.15397,1.154
EURUSD,M1,2026-06-10T01:28:00Z,1.154,1.1540300000000001,1.15399,1.15402
EURUSD,M1,2026-06-10T01:29:00Z,1.15402,1.15404,1.15401,1.15402
EURUSD,M1,2026-06-10T01:30:00Z,1.15402,1.15405,1.15391,1.15395
EURUSD,M1,2026-06-10T01:31:00Z,1.15395,1.15401,1.15395,1.15399
EURUSD,M1,2026-06-10T01:32:00Z,1.15399,1.15404,1.15398,1.15399
EURUSD,M1,2026-06-10T01:33:00Z,1.15399,1.154,1.15396,1.15397
EURUSD,M1,2026-06-10T01:34:00Z,1.15398,1.154,1.1539,1.15393
EURUSD,M1,2026-06-10T01:35:00Z,1.15393,1.15396,1.15393,1.15395
EURUSD,M1,2026-06-10T01:36:00Z,1.15395,1.15396,1.15394,1.15395
EURUSD,M1,2026-06-10T01:37:00Z,1.15395,1.15396,1.15389,1.15393
EURUSD,M1,2026-06-10T01:38:00Z,1.15393,1.15393,1.15389,1.1539
EURUSD,M1,2026-06-10T01:39:00Z,1.1539,1.15391,1.15388,1.1539
EURUSD,M1,2026-06-10T01:40:00Z,1.1539,1.15391,1.15389,1.1539
EURUSD,M1,2026-06-10T01:41:00Z,1.1539,1.15391,1.1538599999999999,1.1539
EURUSD,M1,2026-06-10T01:42:00Z,1.1539,1.15397,1.15388,1.1539
EURUSD,M1,2026-06-10T01:43:00Z,1.1539,1.15394,1.15385,1.1538599999999999
EURUSD,M1,2026-06-10T01:44:00Z,1.1538599999999999,1.15388,1.15374,1.15374
EURUSD,M1,2026-06-10T01:45:00Z,1.15374,1.1537600000000001,1.15369,1.15371
EURUSD,M1,2026-06-10T01:46:00Z,1.15371,1.15372,1.15369,1.15369
EURUSD,M1,2026-06-10T01:47:00Z,1.15369,1.1537,1.15364,1.15365
EURUSD,M1,2026-06-10T01:48:00Z,1.15365,1.15366,1.15364,1.15365
EURUSD,M1,2026-06-10T01:49:00Z,1.15366,1.15371,1.15364,1.15366
EURUSD,M1,2026-06-10T01:50:00Z,1.15366,1.15366,1.15364,1.15365
EURUSD,M1,2026-06-10T01:51:00Z,1.15365,1.15366,1.15364,1.15365
EURUSD,M1,2026-06-10T01:52:00Z,1.15365,1.15366,1.15363,1.15364
EURUSD,M1,2026-06-10T01:53:00Z,1.15364,1.15368,1.15363,1.15365
EURUSD,M1,2026-06-10T01:54:00Z,1.15365,1.15366,1.15362,1.15365
EURUSD,M1,2026-06-10T01:55:00Z,1.15365,1.15366,1.15364,1.15365
EURUSD,M1,2026-06-10T01:56:00Z,1.15365,1.15371,1.15364,1.15371
EURUSD,M1,2026-06-10T01:57:00Z,1.15371,1.15371,1.15368,1.15371
EURUSD,M1,2026-06-10T01:58:00Z,1.15371,1.15371,1.15365,1.15366
EURUSD,M1,2026-06-10T01:59:00Z,1.15366,1.15366,1.15364,1.15366
EURUSD,M1,2026-06-10T02:00:00Z,1.15366,1.15366,1.15362,1.15366
EURUSD,M1,2026-06-10T02:01:00Z,1.15366,1.15371,1.15364,1.15371
EURUSD,M1,2026-06-10T02:02:00Z,1.15371,1.15371,1.15365,1.1537
EURUSD,M1,2026-06-10T02:03:00Z,1.1537,1.15377,1.1537,1.15375
EURUSD,M1,2026-06-10T02:04:00Z,1.15375,1.15381,1.15374,1.15381
EURUSD,M1,2026-06-10T02:05:00Z,1.15381,1.1538599999999999,1.1538,1.1538599999999999
EURUSD,M1,2026-06-10T02:06:00Z,1.1538599999999999,1.15387,1.15384,1.1538599999999999
EURUSD,M1,2026-06-10T02:07:00Z,1.1538599999999999,1.15387,1.15385,1.15385
EURUSD,M1,2026-06-10T02:08:00Z,1.15385,1.15391,1.15384,1.1539
EURUSD,M1,2026-06-10T02:09:00Z,1.1539,1.15391,1.15385,1.15388
EURUSD,M1,2026-06-10T02:10:00Z,1.15388,1.1539,1.15387,1.1539
EURUSD,M1,2026-06-10T02:11:00Z,1.1539,1.15392,1.15387,1.15391
EURUSD,M1,2026-06-10T02:12:00Z,1.15391,1.15392,1.15389,1.15391
EURUSD,M1,2026-06-10T02:13:00Z,1.15391,1.15392,1.15388,1.1539
EURUSD,M1,2026-06-10T02:14:00Z,1.15389,1.15391,1.15385,1.15385
EURUSD,M1,2026-06-10T02:15:00Z,1.15384,1.1538599999999999,1.15379,1.15381
EURUSD,M1,2026-06-10T02:16:00Z,1.15381,1.15381,1.15378,1.1538
EURUSD,M1,2026-06-10T02:17:00Z,1.1538,1.15381,1.15374,1.15374
EURUSD,M1,2026-06-10T02:18:00Z,1.15374,1.1537600000000001,1.15373,1.15374
EURUSD,M1,2026-06-10T02:19:00Z,1.15374,1.1537600000000001,1.15373,1.15375
EURUSD,M1,2026-06-10T02:20:00Z,1.15375,1.1537600000000001,1.15373,1.15375
EURUSD,M1,2026-06-10T02:21:00Z,1.15375,1.15375,1.15364,1.15364
EURUSD,M1,2026-06-10T02:22:00Z,1.15364,1.15367,1.15354,1.15356
EURUSD,M1,2026-06-10T02:23:00Z,1.15356,1.15356,1.15348,1.15351
EURUSD,M1,2026-06-10T02:24:00Z,1.15351,1.15356,1.15349,1.15351
EURUSD,M1,2026-06-10T02:25:00Z,1.15351,1.15356,1.1535,1.15356
EURUSD,M1,2026-06-10T02:26:00Z,1.15356,1.15357,1.15354,1.15356
EURUSD,M1,2026-06-10T02:27:00Z,1.15356,1.15357,1.1535199999999999,1.15355
EURUSD,M1,2026-06-10T02:28:00Z,1.15355,1.15361,1.15355,1.15357
EURUSD,M1,2026-06-10T02:29:00Z,1.15357,1.15357,1.15347,1.15348
EURUSD,M1,2026-06-10T02:30:00Z,1.15348,1.1535,1.15347,1.1535
EURUSD,M1,2026-06-10T02:31:00Z,1.15348,1.1535,1.15347,1.15348
EURUSD,M1,2026-06-10T02:32:00Z,1.15347,1.15357,1.15346,1.15356
