symbol,timeframe,bar_time,open,high,low,close
EURUSD,M5,2026-03-06T17:10:00Z,1.15778,1.15900,1.15776,1.15898
EURUSD,M5,2026-03-06T17:15:00Z,1.15899,1.15928,1.15832,1.15833
EURUSD,M5,2026-03-06T17:20:00Z,1.15833,1.15889,1.15809,1.15872
EURUSD,M5,2026-03-06T17:25:00Z,1.15872,1.15872,1.15726,1.15758
EURUSD,M5,2026-03-06T17:30:00Z,1.15759,1.15853,1.15758,1.15838
EURUSD,M5,2026-03-06T17:35:00Z,1.15838,1.15852,1.15805,1.15848
EURUSD,M5,2026-03-06T17:40:00Z,1.15848,1.15848,1.15742,1.15779
EURUSD,M5,2026-03-06T17:45:00Z,1.15780,1.15822,1.15712,1.15736
EURUSD,M5,2026-03-06T17:50:00Z,1.15737,1.15748,1.15705,1.15746
EURUSD,M5,2026-03-06T17:55:00Z,1.15747,1.15808,1.15737,1.15797
EURUSD,M5,2026-03-06T18:00:00Z,1.15796,1.15936,1.15790,1.15924
EURUSD,M5,2026-03-06T18:05:00Z,1.15929,1.16000,1.15920,1.15978
EURUSD,M5,2026-03-06T18:10:00Z,1.15981,1.15989,1.15879,1.15897
EURUSD,M5,2026-03-06T18:15:00Z,1.15898,1.16045,1.15893,1.16045
EURUSD,M5,2026-03-06T18:20:00Z,1.16044,1.16069,1.15966,1.15982
EURUSD,M5,2026-03-06T18:25:00Z,1.15982,1.15999,1.15951,1.15972
EURUSD,M5,2026-03-06T18:30:00Z,1.15972,1.16014,1.15945,1.15985
EURUSD,M5,2026-03-06T18:35:00Z,1.15984,1.16091,1.15971,1.16048
EURUSD,M5,2026-03-06T18:40:00Z,1.16049,1.16089,1.16019,1.16089
EURUSD,M5,2026-03-06T18:45:00Z,1.16088,1.16131,1.16072,1.16073
EURUSD,M5,2026-03-06T18:50:00Z,1.16073,1.16125,1.16047,1.16068
EURUSD,M5,2026-03-06T18:55:00Z,1.16067,1.16075,1.16005,1.16057
EURUSD,M5,2026-03-06T19:00:00Z,1.16056,1.16086,1.16009,1.16060
EURUSD,M5,2026-03-06T19:05:00Z,1.16060,1.16063,1.15975,1.16003
EURUSD,M5,2026-03-06T19:10:00Z,1.16001,1.16016,1.15962,1.15964
EURUSD,M5,2026-03-06T19:15:00Z,1.15964,1.16026,1.15962,1.16025
EURUSD,M5,2026-03-06T19:20:00Z,1.16025,1.16093,1.16004,1.16023
EURUSD,M5,2026-03-06T19:25:00Z,1.16023,1.16023,1.15953,1.15954
EURUSD,M5,2026-03-06T19:30:00Z,1.15954,1.16017,1.15949,1.16010
EURUSD,M5,2026-03-06T19:35:00Z,1.16010,1.16011,1.15948,1.15958
EURUSD,M5,2026-03-06T19:40:00Z,1.15959,1.16002,1.15948,1.15994
EURUSD,M5,2026-03-06T19:45:00Z,1.15994,1.16043,1.15959,1.16013
EURUSD,M5,2026-03-06T19:50:00Z,1.16013,1.16056,1.15978,1.15978
EURUSD,M5,2026-03-06T19:55:00Z,1.15978,1.16019,1.15957,1.15957
EURUSD,M5,2026-03-06T20:00:00Z,1.15957,1.16041,1.15951,1.15968
EURUSD,M5,2026-03-06T20:05:00Z,1.15969,1.16066,1.15968,1.16054
EURUSD,M5,2026-03-06T20:10:00Z,1.16054,1.16173,1.16039,1.16143
EURUSD,M5,2026-03-06T20:15:00Z,1.16143,1.16196,1.16124,1.16182
EURUSD,M5,2026-03-06T20:20:00Z,1.16180,1.16214,1.16104,1.16119
EURUSD,M5,2026-03-06T20:25:00Z,1.16118,1.16118,1.16048,1.16060
EURUSD,M5,2026-03-06T20:30:00Z,1.16061,1.16103,1.16056,1.16068
EURUSD,M5,2026-03-06T20:35:00Z,1.16068,1.16073,1.16001,1.16008
EURUSD,M5,2026-03-06T20:40:00Z,1.16008,1.16040,1.16003,1.16026
EURUSD,M5,2026-03-06T20:45:00Z,1.16026,1.16044,1.15981,1.15988
EURUSD,M5,2026-03-06T20:50:00Z,1.15988,1.15989,1.15929,1.15942
EURUSD,M5,2026-03-06T20:55:00Z,1.15941,1.16021,1.15940,1.15985
EURUSD,M5,2026-03-06T21:00:00Z,1.15985,1.15993,1.15968,1.15985
EURUSD,M5,2026-03-06T21:05:00Z,1.15985,1.16048,1.15971,1.16029
EURUSD,M5,2026-03-06T21:10:00Z,1.16029,1.16067,1.16022,1.16052
EURUSD,M5,2026-03-06T21:15:00Z,1.16052,1.16090,1.16034,1.16090
EURUSD,M5,2026-03-06T21:20:00Z,1.16090,1.16090,1.16024,1.16039
EURUSD,M5,2026-03-06T21:25:00Z,1.16039,1.16069,1.16007,1.16062
EURUSD,M5,2026-03-06T21:30:00Z,1.16061,1.16080,1.16044,1.16054
EURUSD,M5,2026-03-06T21:35:00Z,1.16055,1.16079,1.16021,1.16042
EURUSD,M5,2026-03-06T21:40:00Z,1.16041,1.16082,1.16040,1.16045
EURUSD,M5,2026-03-06T21:45:00Z,1.16045,1.16051,1.16009,1.16018
EURUSD,M5,2026-03-06T21:50:00Z,1.16018,1.16079,1.16014,1.16074
EURUSD,M5,2026-03-06T21:55:00Z,1.16074,1.16096,1.16007,1.16013
EURUSD,M5,2026-03-06T22:00:00Z,1.16014,1.16059,1.16014,1.16044
EURUSD,M5,2026-03-06T22:05:00Z,1.16049,1.16057,1.16029,1.16050
