symbol,timeframe,bar_time,open,high,low,close
GBPUSD,M15,2021-06-15T15:30:00Z,1.40572,1.40666,1.40532,1.40634
GBPUSD,M15,2021-06-15T15:45:00Z,1.40633,1.40681,1.40568,1.40676
GBPUSD,M15,2021-06-15T16:00:00Z,1.40677,1.40744,1.4066,1.40715
GBPUSD,M15,2021-06-15T16:15:00Z,1.40715,1.40851,1.40705,1.40809
GBPUSD,M15,2021-06-15T16:30:00Z,1.40808,1.4084,1.40756,1.40839
GBPUSD,M15,2021-06-15T16:45:00Z,1.40838,1.40898,1.40752,1.40776
GBPUSD,M15,2021-06-15T17:00:00Z,1.40776,1.40859,1.4077,1.408
GBPUSD,M15,2021-06-15T17:15:00Z,1.40798,1.40836,1.40741,1.40768
GBPUSD,M15,2021-06-15T17:30:00Z,1.40768,1.40815,1.40718,1.40782
GBPUSD,M15,2021-06-15T17:45:00Z,1.4078,1.40941,1.40754,1.4085
GBPUSD,M15,2021-06-15T18:00:00Z,1.40851,1.40892,1.40812,1.40822
GBPUSD,M15,2021-06-15T18:15:00Z,1.40824,1.40915,1.40824,1.40913
GBPUSD,M15,2021-06-15T18:30:00Z,1.40912,1.40912,1.4082,1.40871
GBPUSD,M15,2021-06-15T18:45:00Z,1.40871,1.40872,1.40715,1.40721
GBPUSD,M15,2021-06-15T19:00:00Z,1.40719,1.40753,1.40698,1.40748
GBPUSD,M15,2021-06-15T19:15:00Z,1.40747,1.40806,1.40745,1.40797
GBPUSD,M15,2021-06-15T19:30:00Z,1.40798,1.40829,1.40781,1.40829
GBPUSD,M15,2021-06-15T19:45:00Z,1.40829,1.40845,1.40769,1.40779
GBPUSD,M15,2021-06-15T20:00:00Z,1.4078,1.40795,1.40756,1.40782
GBPUSD,M15,2021-06-15T20:15:00Z,1.40782,1.40788,1.40754,1.40766
GBPUSD,M15,2021-06-15T20:30:00Z,1.40766,1.40787,1.40759,1.40782
GBPUSD,M15,2021-06-15T20:45:00Z,1.4078,1.40834,1.40779,1.40807
GBPUSD,M15,2021-06-15T21:00:00Z,1.40806,1.40834,1.40796,1.40796
GBPUSD,M15,2021-06-15T21:15:00Z,1.40797,1.40835,1.40796,1.40819
GBPUSD,M15,2021-06-15T21:30:00Z,1.4082,1.40831,1.40809,1.40817
GBPUSD,M15,2021-06-15T21:45:00Z,1.40817,1.40834,1.40802,1.40809
GBPUSD,M15,2021-06-15T22:00:00Z,1.40809,1.40809,1.40782,1.40783
GBPUSD,M15,2021-06-15T22:15:00Z,1.40783,1.40808,1.40763,1.40774
GBPUSD,M15,2021-06-15T22:30:00Z,1.40772,1.40809,1.40767,1.40807
GBPUSD,M15,2021-06-15T22:45:00Z,1.40807,1.4082,1.40794,1.40816
GBPUSD,M15,2021-06-15T23:00:00Z,1.40816,1.40829,1.408,1.40817
GBPUSD,M15,2021-06-15T23:15:00Z,1.40819,1.4083,1.4081,1.40811
GBPUSD,M15,2021-06-15T23:30:00Z,1.40815,1.40836,1.40813,1.40832
GBPUSD,M15,2021-06-15T23:45:00Z,1.40832,1.40852,1.40827,1.40827
GBPUSD,M15,2021-06-16T00:00:00Z,1.40752,1.40834,1.40752,1.40805
GBPUSD,M15,2021-06-16T00:15:00Z,1.40842,1.40842,1.40786,1.40793
GBPUSD,M15,2021-06-16T00:30:00Z,1.40799,1.40821,1.40786,1.40808
GBPUSD,M15,2021-06-16T00:45:00Z,1.40808,1.40824,1.40786,1.40809
GBPUSD,M15,2021-06-16T01:00:00Z,1.40809,1.40856,1.40794,1.40828
GBPUSD,M15,2021-06-16T01:15:00Z,1.40826,1.40828,1.40809,1.40813
GBPUSD,M15,2021-06-16T01:30:00Z,1.40813,1.40813,1.40794,1.40809
GBPUSD,M15,2021-06-16T01:45:00Z,1.40808,1.40814,1.40795,1.40802
GBPUSD,M15,2021-06-16T02:00:00Z,1.40803,1.40809,1.40798,1.408
GBPUSD,M15,2021-06-16T02:15:00Z,1.408,1.40805,1.40787,1.40798
GBPUSD,M15,2021-06-16T02:30:00Z,1.40799,1.40799,1.40779,1.40792
GBPUSD,M15,2021-06-16T02:45:00Z,1.40793,1.40809,1.4079,1.40802
GBPUSD,M15,2021-06-16T03:00:00Z,1.40801,1.40822,1.40789,1.40808
GBPUSD,M15,2021-06-16T03:15:00Z,1.40809,1.40831,1.40789,1.40806
GBPUSD,M15,2021-06-16T03:30:00Z,1.40806,1.40841,1.40799,1.40827
GBPUSD,M15,2021-06-16T03:45:00Z,1.40828,1.40841,1.40783,1.40785
GBPUSD,M15,2021-06-16T04:00:00Z,1.40784,1.40792,1.40769,1.40772
GBPUSD,M15,2021-06-16T04:15:00Z,1.40771,1.40783,1.4076,1.40769
GBPUSD,M15,2021-06-16T04:30:00Z,1.40768,1.40801,1.40763,1.40789
GBPUSD,M15,2021-06-16T04:45:00Z,1.40791,1.40822,1.40782,1.4079
GBPUSD,M15,2021-06-16T05:00:00Z,1.40788,1.40809,1.40778,1.40779
GBPUSD,M15,2021-06-16T05:15:00Z,1.40779,1.40789,1.40764,1.40781
GBPUSD,M15,2021-06-16T05:30:00Z,1.40781,1.40803,1.40764,1.40792
GBPUSD,M15,2021-06-16T05:45:00Z,1.40792,1.40812,1.40777,1.40808
GBPUSD,M15,2021-06-16T06:00:00Z,1.40807,1.40809,1.40788,1.40797
GBPUSD,M15,2021-06-16T06:15:00Z,1.40799,1.40821,1.40787,1.40819
GBPUSD,M15,2021-06-16T06:30:00Z,1.40819,1.40822,1.40799,1.40809
