symbol,timeframe,bar_time,open,high,low,close
XAUUSD,M5,2026-04-07T03:35:00Z,4645.52500,4645.90500,4642.64500,4645.02500
XAUUSD,M5,2026-04-07T03:40:00Z,4645.12500,4647.97800,4643.46500,4647.66800
XAUUSD,M5,2026-04-07T03:45:00Z,4647.64500,4649.11500,4646.91800,4647.21800
XAUUSD,M5,2026-04-07T03:50:00Z,4647.24800,4649.26800,4646.77800,4647.58800
XAUUSD,M5,2026-04-07T03:55:00Z,4647.59800,4650.70500,4647.25800,4649.26800
XAUUSD,M5,2026-04-07T04:00:00Z,4649.22800,4651.01800,4648.12500,4648.97800
XAUUSD,M5,2026-04-07T04:05:00Z,4649.00800,4649.24800,4647.24800,4648.17500
XAUUSD,M5,2026-04-07T04:10:00Z,4648.17500,4649.20500,4645.18500,4645.74500
XAUUSD,M5,2026-04-07T04:15:00Z,4645.77500,4649.05500,4645.29500,4648.85500
XAUUSD,M5,2026-04-07T04:20:00Z,4648.80500,4649.29800,4647.34500,4649.29800
XAUUSD,M5,2026-04-07T04:25:00Z,4649.29800,4650.97500,4648.76500,4649.77500
XAUUSD,M5,2026-04-07T04:30:00Z,4649.90500,4658.35500,4649.17500,4658.35500
XAUUSD,M5,2026-04-07T04:35:00Z,4658.31500,4660.35500,4656.84500,4658.10500
XAUUSD,M5,2026-04-07T04:40:00Z,4658.13500,4663.81800,4657.96500,4661.77800
XAUUSD,M5,2026-04-07T04:45:00Z,4661.74800,4663.02800,4659.74800,4660.84800
XAUUSD,M5,2026-04-07T04:50:00Z,4660.84800,4663.50800,4660.55500,4661.66800
XAUUSD,M5,2026-04-07T04:55:00Z,4661.67800,4662.76800,4658.81800,4659.24800
XAUUSD,M5,2026-04-07T05:00:00Z,4659.78800,4660.94800,4655.45500,4656.47500
XAUUSD,M5,2026-04-07T05:05:00Z,4656.44500,4657.95500,4654.17500,4655.26500
