symbol,timeframe,bar_time,open,high,low,close
XAUUSD,M5,2025-06-12T01:00:00Z,3357.18,3359.36,3356.3,3357.88
XAUUSD,M5,2025-06-12T01:05:00Z,3357.88,3360.23,3356.15,3360.0
XAUUSD,M5,2025-06-12T01:10:00Z,3360.0,3361.73,3359.16,3361.23
XAUUSD,M5,2025-06-12T01:15:00Z,3361.23,3363.9,3359.63,3362.75
XAUUSD,M5,2025-06-12T01:20:00Z,3362.75,3365.09,3362.75,3363.39
XAUUSD,M5,2025-06-12T01:25:00Z,3363.39,3365.14,3363.1,3363.82
XAUUSD,M5,2025-06-12T01:30:00Z,3363.82,3365.65,3362.86,3365.28
XAUUSD,M5,2025-06-12T01:35:00Z,3365.28,3367.86,3365.26,3367.42
XAUUSD,M5,2025-06-12T01:40:00Z,3367.47,3367.66,3365.77,3366.08
XAUUSD,M5,2025-06-12T01:45:00Z,3366.08,3366.41,3364.82,3365.11
XAUUSD,M5,2025-06-12T01:50:00Z,3365.11,3367.29,3364.52,3367.29
XAUUSD,M5,2025-06-12T01:55:00Z,3367.29,3369.76,3366.72,3369.02
XAUUSD,M5,2025-06-12T02:00:00Z,3369.02,3373.58,3368.98,3371.97
XAUUSD,M5,2025-06-12T02:05:00Z,3371.97,3372.94,3369.85,3370.05
XAUUSD,M5,2025-06-12T02:10:00Z,3370.05,3370.71,3366.48,3366.82
XAUUSD,M5,2025-06-12T02:15:00Z,3366.82,3367.98,3363.35,3366.59
XAUUSD,M5,2025-06-12T02:20:00Z,3366.59,3366.98,3364.66,3366.53
XAUUSD,M5,2025-06-12T02:25:00Z,3366.53,3366.86,3364.35,3364.75
XAUUSD,M5,2025-06-12T02:30:00Z,3364.8,3367.08,3364.21,3366.46
XAUUSD,M5,2025-06-12T02:35:00Z,3366.46,3366.84,3363.53,3364.63
XAUUSD,M5,2025-06-12T02:40:00Z,3364.35,3366.39,3364.32,3365.58
XAUUSD,M5,2025-06-12T02:45:00Z,3365.58,3366.47,3362.67,3362.78
XAUUSD,M5,2025-06-12T02:50:00Z,3362.75,3363.46,3357.55,3358.86
XAUUSD,M5,2025-06-12T02:55:00Z,3358.86,3365.79,3358.73,3365.51
XAUUSD,M5,2025-06-12T03:00:00Z,3365.51,3367.16,3362.63,3363.55
XAUUSD,M5,2025-06-12T03:05:00Z,3363.56,3365.56,3362.3,3364.68
XAUUSD,M5,2025-06-12T03:10:00Z,3364.68,3365.45,3363.3,3365.17
XAUUSD,M5,2025-06-12T03:15:00Z,3365.22,3366.92,3363.66,3366.84
XAUUSD,M5,2025-06-12T03:20:00Z,3366.84,3366.84,3362.23,3365.67
XAUUSD,M5,2025-06-12T03:25:00Z,3365.67,3370.15,3365.47,3367.38
XAUUSD,M5,2025-06-12T03:30:00Z,3367.38,3367.92,3363.51,3366.68
XAUUSD,M5,2025-06-12T03:35:00Z,3366.68,3369.12,3365.66,3369.12
XAUUSD,M5,2025-06-12T03:40:00Z,3369.12,3369.87,3366.82,3367.17
XAUUSD,M5,2025-06-12T03:45:00Z,3367.11,3371.4,3366.75,3370.87
XAUUSD,M5,2025-06-12T03:50:00Z,3370.95,3371.12,3367.26,3368.25
XAUUSD,M5,2025-06-12T03:55:00Z,3368.24,3368.88,3365.66,3365.86
XAUUSD,M5,2025-06-12T04:00:00Z,3365.89,3367.4,3362.61,3366.58
XAUUSD,M5,2025-06-12T04:05:00Z,3366.58,3369.15,3365.45,3368.83
XAUUSD,M5,2025-06-12T04:10:00Z,3368.83,3370.84,3367.12,3367.27
XAUUSD,M5,2025-06-12T04:15:00Z,3367.27,3372.19,3367.07,3370.0
XAUUSD,M5,2025-06-12T04:20:00Z,3370.0,3375.1,3369.83,3373.09
XAUUSD,M5,2025-06-12T04:25:00Z,3373.09,3376.82,3372.17,3375.5
XAUUSD,M5,2025-06-12T04:30:00Z,3375.49,3375.52,3371.82,3372.69
XAUUSD,M5,2025-06-12T04:35:00Z,3372.69,3373.14,3369.95,3373.04
XAUUSD,M5,2025-06-12T04:40:00Z,3373.06,3373.39,3368.37,3368.71
XAUUSD,M5,2025-06-12T04:45:00Z,3368.73,3371.49,3368.47,3369.97
XAUUSD,M5,2025-06-12T04:50:00Z,3369.97,3371.37,3369.59,3370.64
XAUUSD,M5,2025-06-12T04:55:00Z,3370.58,3371.9,3368.16,3371.09
XAUUSD,M5,2025-06-12T05:00:00Z,3371.09,3374.53,3368.98,3373.73
XAUUSD,M5,2025-06-12T05:05:00Z,3373.76,3374.12,3369.63,3370.26
XAUUSD,M5,2025-06-12T05:10:00Z,3370.26,3372.73,3369.61,3372.25
XAUUSD,M5,2025-06-12T05:15:00Z,3372.25,3374.42,3371.45,3373.6
XAUUSD,M5,2025-06-12T05:20:00Z,3373.6,3374.29,3372.42,3373.15
XAUUSD,M5,2025-06-12T05:25:00Z,3372.78,3375.75,3372.52,3374.31
XAUUSD,M5,2025-06-12T05:30:00Z,3374.31,3377.2,3374.28,3375.04
XAUUSD,M5,2025-06-12T05:35:00Z,3375.04,3376.68,3373.55,3376.39
XAUUSD,M5,2025-06-12T05:40:00Z,3376.39,3377.79,3376.39,3377.26
XAUUSD,M5,2025-06-12T05:45:00Z,3377.21,3377.86,3375.38,3375.77
XAUUSD,M5,2025-06-12T05:50:00Z,3375.77,3375.77,3373.59,3374.42
XAUUSD,M5,2025-06-12T05:55:00Z,3374.42,3376.18,3374.26,3374.68
XAUUSD,M5,2025-06-12T06:00:00Z,3374.68,3376.07,3373.45,3373.77
XAUUSD,M5,2025-06-12T06:05:00Z,3373.77,3375.79,3373.7,3375.28
XAUUSD,M5,2025-06-12T06:10:00Z,3375.29,3376.67,3375.27,3375.81
XAUUSD,M5,2025-06-12T06:15:00Z,3375.8,3376.2,3374.35,3374.6
XAUUSD,M5,2025-06-12T06:20:00Z,3374.6,3375.3,3373.15,3374.44
XAUUSD,M5,2025-06-12T06:25:00Z,3374.62,3375.28,3374.11,3374.71
XAUUSD,M5,2025-06-12T06:30:00Z,3374.76,3375.07,3373.43,3374.37
XAUUSD,M5,2025-06-12T06:35:00Z,3374.35,3375.87,3374.35,3375.33
XAUUSD,M5,2025-06-12T06:40:00Z,3375.33,3375.55,3374.3,3374.73
XAUUSD,M5,2025-06-12T06:45:00Z,3374.73,3374.89,3373.78,3374.49
XAUUSD,M5,2025-06-12T06:50:00Z,3374.49,3374.49,3372.07,3372.1
XAUUSD,M5,2025-06-12T06:55:00Z,3372.1,3373.99,3371.68,3373.42
XAUUSD,M5,2025-06-12T07:00:00Z,3373.42,3373.76,3371.12,3371.23
XAUUSD,M5,2025-06-12T07:05:00Z,3371.23,3371.98,3370.59,3370.9
XAUUSD,M5,2025-06-12T07:10:00Z,3370.9,3371.12,3369.54,3370.18
XAUUSD,M5,2025-06-12T07:15:00Z,3370.18,3371.78,3369.86,3370.75
XAUUSD,M5,2025-06-12T07:20:00Z,3370.75,3372.19,3370.45,3371.44
XAUUSD,M5,2025-06-12T07:25:00Z,3371.44,3372.53,3371.27,3371.94
XAUUSD,M5,2025-06-12T07:30:00Z,3371.94,3372.74,3371.55,3371.86
XAUUSD,M5,2025-06-12T07:35:00Z,3371.86,3372.6,3371.76,3372.2
XAUUSD,M5,2025-06-12T07:40:00Z,3372.2,3373.73,3372.0,3373.42
XAUUSD,M5,2025-06-12T07:45:00Z,3373.42,3373.76,3371.19,3372.96
XAUUSD,M5,2025-06-12T07:50:00Z,3372.96,3373.64,3371.57,3371.86
XAUUSD,M5,2025-06-12T07:55:00Z,3371.86,3372.27,3370.53,3370.61
XAUUSD,M5,2025-06-12T08:00:00Z,3370.61,3370.61,3367.8,3370.49
XAUUSD,M5,2025-06-12T08:05:00Z,3370.49,3371.86,3369.5,3371.56
XAUUSD,M5,2025-06-12T08:10:00Z,3371.56,3371.73,3370.94,3371.09
XAUUSD,M5,2025-06-12T08:15:00Z,3371.09,3373.7,3371.0,3373.02
XAUUSD,M5,2025-06-12T08:20:00Z,3373.02,3374.96,3372.84,3374.52
XAUUSD,M5,2025-06-12T08:25:00Z,3374.52,3374.79,3373.94,3374.73
XAUUSD,M5,2025-06-12T08:30:00Z,3374.73,3375.82,3373.71,3375.68
XAUUSD,M5,2025-06-12T08:35:00Z,3375.66,3375.77,3373.98,3374.63
XAUUSD,M5,2025-06-12T08:40:00Z,3374.63,3375.15,3373.12,3374.59
XAUUSD,M5,2025-06-12T08:45:00Z,3374.59,3374.79,3373.97,3374.52
XAUUSD,M5,2025-06-12T08:50:00Z,3374.52,3375.2,3372.97,3374.87
XAUUSD,M5,2025-06-12T08:55:00Z,3374.88,3375.67,3374.47,3374.51
XAUUSD,M5,2025-06-12T09:00:00Z,3374.5,3375.19,3373.06,3374.4
XAUUSD,M5,2025-06-12T09:05:00Z,3374.4,3375.16,3372.12,3372.83
XAUUSD,M5,2025-06-12T09:10:00Z,3372.83,3373.19,3371.37,3371.43
XAUUSD,M5,2025-06-12T09:15:00Z,3371.43,3371.51,3365.65,3366.27
XAUUSD,M5,2025-06-12T09:20:00Z,3366.27,3369.36,3365.32,3368.21
XAUUSD,M5,2025-06-12T09:25:00Z,3368.21,3369.76,3367.61,3369.69
XAUUSD,M5,2025-06-12T09:30:00Z,3369.69,3372.17,3369.68,3370.83
XAUUSD,M5,2025-06-12T09:35:00Z,3370.89,3373.6,3369.89,3373.08
XAUUSD,M5,2025-06-12T09:40:00Z,3373.15,3373.27,3371.53,3372.15
XAUUSD,M5,2025-06-12T09:45:00Z,3372.15,3373.55,3371.66,3373.39
XAUUSD,M5,2025-06-12T09:50:00Z,3373.39,3375.26,3372.56,3374.95
XAUUSD,M5,2025-06-12T09:55:00Z,3374.99,3375.67,3373.96,3375.03
XAUUSD,M5,2025-06-12T10:00:00Z,3375.04,3375.28,3373.26,3373.39
XAUUSD,M5,2025-06-12T10:05:00Z,3373.39,3373.63,3371.8,3372.32
XAUUSD,M5,2025-06-12T10:10:00Z,3372.32,3372.81,3370.45,3371.54
XAUUSD,M5,2025-06-12T10:15:00Z,3371.54,3372.28,3369.46,3370.24
XAUUSD,M5,2025-06-12T10:20:00Z,3370.24,3373.77,3370.1,3371.13
XAUUSD,M5,2025-06-12T10:25:00Z,3371.13,3371.13,3368.28,3369.96
XAUUSD,M5,2025-06-12T10:30:00Z,3369.97,3370.54,3362.08,3362.18
XAUUSD,M5,2025-06-12T10:35:00Z,3362.18,3362.18,3349.42,3353.16
XAUUSD,M5,2025-06-12T10:40:00Z,3353.16,3354.47,3338.63,3342.26
XAUUSD,M5,2025-06-12T10:45:00Z,3342.26,3345.24,3340.44,3342.65
XAUUSD,M5,2025-06-12T10:50:00Z,3342.65,3345.41,3340.05,3343.78
XAUUSD,M5,2025-06-12T10:55:00Z,3343.92,3347.19,3343.16,3346.22
XAUUSD,M5,2025-06-12T11:00:00Z,3346.22,3351.4,3346.22,3350.7
XAUUSD,M5,2025-06-12T11:05:00Z,3350.6,3350.73,3347.18,3349.41
XAUUSD,M5,2025-06-12T11:10:00Z,3349.41,3351.09,3347.66,3350.67
XAUUSD,M5,2025-06-12T11:15:00Z,3350.63,3357.66,3350.63,3356.28
XAUUSD,M5,2025-06-12T11:20:00Z,3356.29,3357.11,3354.76,3356.5
XAUUSD,M5,2025-06-12T11:25:00Z,3356.52,3360.22,3356.15,3358.99
XAUUSD,M5,2025-06-12T11:30:00Z,3358.99,3360.6,3357.8,3359.92
XAUUSD,M5,2025-06-12T11:35:00Z,3359.92,3361.13,3358.52,3358.55
XAUUSD,M5,2025-06-12T11:40:00Z,3358.54,3361.11,3357.75,3358.27
XAUUSD,M5,2025-06-12T11:45:00Z,3358.27,3359.62,3356.78,3359.55
XAUUSD,M5,2025-06-12T11:50:00Z,3359.55,3360.27,3357.98,3358.32
XAUUSD,M5,2025-06-12T11:55:00Z,3358.3,3358.49,3355.88,3356.85
XAUUSD,M5,2025-06-12T12:00:00Z,3356.85,3357.9,3355.92,3357.06
XAUUSD,M5,2025-06-12T12:05:00Z,3357.06,3359.67,3355.38,3358.87
XAUUSD,M5,2025-06-12T12:10:00Z,3358.87,3363.27,3358.58,3361.83
XAUUSD,M5,2025-06-12T12:15:00Z,3361.83,3363.86,3360.91,3361.2
XAUUSD,M5,2025-06-12T12:20:00Z,3361.2,3362.1,3360.76,3360.97
XAUUSD,M5,2025-06-12T12:25:00Z,3360.97,3362.01,3360.13,3361.1
XAUUSD,M5,2025-06-12T12:30:00Z,3361.07,3362.58,3359.54,3360.94
XAUUSD,M5,2025-06-12T12:35:00Z,3360.94,3361.65,3358.12,3360.39
XAUUSD,M5,2025-06-12T12:40:00Z,3360.39,3362.27,3359.99,3360.96
XAUUSD,M5,2025-06-12T12:45:00Z,3360.96,3367.32,3360.78,3365.14
XAUUSD,M5,2025-06-12T12:50:00Z,3365.14,3368.02,3364.13,3366.71
XAUUSD,M5,2025-06-12T12:55:00Z,3366.74,3367.02,3364.7,3365.44
XAUUSD,M5,2025-06-12T13:00:00Z,3365.44,3366.8,3363.35,3363.49
XAUUSD,M5,2025-06-12T13:05:00Z,3363.49,3363.86,3362.59,3363.2
XAUUSD,M5,2025-06-12T13:10:00Z,3363.19,3367.59,3363.16,3366.82
XAUUSD,M5,2025-06-12T13:15:00Z,3366.81,3373.96,3366.5,3371.39
XAUUSD,M5,2025-06-12T13:20:00Z,3371.41,3375.58,3370.65,3375.35
XAUUSD,M5,2025-06-12T13:25:00Z,3375.36,3379.92,3373.31,3379.54
XAUUSD,M5,2025-06-12T13:30:00Z,3379.54,3383.64,3379.2,3381.89
XAUUSD,M5,2025-06-12T13:35:00Z,3381.89,3385.89,3381.04,3383.6
XAUUSD,M5,2025-06-12T13:40:00Z,3383.58,3383.92,3381.66,3382.28
XAUUSD,M5,2025-06-12T13:45:00Z,3382.29,3384.56,3381.85,3382.13
XAUUSD,M5,2025-06-12T13:50:00Z,3382.14,3384.82,3381.79,3382.48
XAUUSD,M5,2025-06-12T13:55:00Z,3382.47,3383.6,3381.31,3382.69
XAUUSD,M5,2025-06-12T14:00:00Z,3382.69,3388.56,3381.92,3387.87
XAUUSD,M5,2025-06-12T14:05:00Z,3387.87,3387.87,3383.71,3385.77
XAUUSD,M5,2025-06-12T14:10:00Z,3385.81,3386.22,3384.05,3385.27
XAUUSD,M5,2025-06-12T14:15:00Z,3385.27,3385.78,3380.9,3383.41
XAUUSD,M5,2025-06-12T14:20:00Z,3383.41,3384.53,3380.87,3383.43
XAUUSD,M5,2025-06-12T14:25:00Z,3383.43,3384.33,3380.65,3380.99
XAUUSD,M5,2025-06-12T14:30:00Z,3380.99,3383.37,3380.15,3382.49
XAUUSD,M5,2025-06-12T14:35:00Z,3382.48,3382.6,3373.36,3373.36
XAUUSD,M5,2025-06-12T14:40:00Z,3373.37,3377.09,3373.21,3376.77
XAUUSD,M5,2025-06-12T14:45:00Z,3376.81,3378.61,3375.51,3378.1
XAUUSD,M5,2025-06-12T14:50:00Z,3378.1,3379.84,3377.12,3378.3
XAUUSD,M5,2025-06-12T14:55:00Z,3378.27,3380.62,3377.93,3379.32
XAUUSD,M5,2025-06-12T15:00:00Z,3379.32,3380.32,3376.41,3378.0
XAUUSD,M5,2025-06-12T15:05:00Z,3378.12,3384.11,3378.11,3383.54
XAUUSD,M5,2025-06-12T15:10:00Z,3383.56,3384.57,3379.65,3379.76
