file_name	decision	target_family	target_path	reason
README__from_20_tools_workspace.md	archive_only	raw_snapshot	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/README__from_20_tools_workspace.md	保留原目录说明作为历史快照证据
generate_p0_subset.py	already_absorbed	batch_01_selected	20_tools_workspace/batch_01_selected/generate_p0_subset.py	已单独进入活跃工具批次
group08_batch2_series_copy.py	archive_only_reopenable	group08_followup	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_batch2_series_copy.py	暂不进入活跃层，必要时后续重开
group08_batch3_topic_copy.py	archive_only_reopenable	group08_followup	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_batch3_topic_copy.py	暂不进入活跃层，必要时后续重开
group08_batch4_topic_anchor.py	archive_only_reopenable	group08_followup	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_batch4_topic_anchor.py	暂不进入活跃层，必要时后续重开
group08_batch5_bookdir_autoresolve.py	archive_only_reopenable	group08_followup	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_batch5_bookdir_autoresolve.py	暂不进入活跃层，必要时后续重开
group08_external_move_postcheck.py	already_absorbed	batch_02_group08_pipeline	20_tools_workspace/batch_02_group08_pipeline/group08_external_move_postcheck.py	已单独进入活跃工具批次
group08_external_ops_preflight.py	already_absorbed	batch_02_group08_pipeline	20_tools_workspace/batch_02_group08_pipeline/group08_external_ops_preflight.py	已单独进入活跃工具批次
group08_external_ops_stats.py	already_absorbed	batch_02_group08_pipeline	20_tools_workspace/batch_02_group08_pipeline/group08_external_ops_stats.py	已单独进入活跃工具批次
group08_generate_delete_refs_cleanup.py	archive_only_reopenable	group08_followup	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_generate_delete_refs_cleanup.py	暂不进入活跃层，必要时后续重开
group08_generate_external_ops_plan.py	already_absorbed	batch_02_group08_pipeline	20_tools_workspace/batch_02_group08_pipeline/group08_generate_external_ops_plan.py	已单独进入活跃工具批次
group08_generate_materials_catalog.py	already_absorbed	batch_02_group08_pipeline	20_tools_workspace/batch_02_group08_pipeline/group08_generate_materials_catalog.py	已单独进入活跃工具批次
group08_generate_powershell_dryrun_cmds.py	already_absorbed	batch_02_group08_pipeline	20_tools_workspace/batch_02_group08_pipeline/group08_generate_powershell_dryrun_cmds.py	已单独进入活跃工具批次
group08_refscan_final_delete_list.py	archive_only_reopenable	group08_followup	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_refscan_final_delete_list.py	暂不进入活跃层，必要时后续重开
group08_sourceraw_missing_manifest.py	archive_only_reopenable	group08_followup	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_sourceraw_missing_manifest.py	暂不进入活跃层，必要时后续重开
group08_split_external_ops_plan.py	archive_only_reopenable	group08_followup	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_split_external_ops_plan.py	暂不进入活跃层，必要时后续重开
group08_sync_final_delete_list.py	archive_only_reopenable	group08_followup	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_sync_final_delete_list.py	暂不进入活跃层，必要时后续重开
ingest_ashare_txt_to_md.py	already_absorbed	batch_03_general_ingest_tools	20_tools_workspace/batch_03_general_ingest_tools/ingest_ashare_txt_to_md.py	已单独进入活跃工具批次
kimi_cutpack_manifest.py	already_absorbed	batch_03_general_ingest_tools	20_tools_workspace/batch_03_general_ingest_tools/kimi_cutpack_manifest.py	已单独进入活跃工具批次
relocate_path_prefix.py	already_absorbed	batch_01_selected	20_tools_workspace/batch_01_selected/relocate_path_prefix.py	已单独进入活跃工具批次
robocopy_tools__20260707.log	evidence_only	migration_log	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/robocopy_tools__20260707.log	仅保留迁移证据
s_bucketize.py	already_absorbed	batch_03_general_ingest_tools	20_tools_workspace/batch_03_general_ingest_tools/s_bucketize.py	已单独进入活跃工具批次
s_dedup_delete_list.py	archive_only_reopenable	general_cleanup_followup	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/s_dedup_delete_list.py	暂不进入活跃层，必要时后续重开
s_dedup_report.py	archive_only_reopenable	general_cleanup_followup	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/s_dedup_report.py	暂不进入活跃层，必要时后续重开
slice_csv_tail_v1.py	already_absorbed	batch_01_selected	20_tools_workspace/batch_01_selected/slice_csv_tail_v1.py	已单独进入活跃工具批次
tk_manual_append_rows.py	already_absorbed	batch_01_selected	20_tools_workspace/batch_01_selected/tk_manual_append_rows.py	已单独进入活跃工具批次
tk_r1_interactions.py	archive_only_frozen	tk_r1_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r1_interactions.py	与旧审计链强绑定，冻结保存
tk_r1_stage2_audit.py	archive_only_frozen	tk_r1_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r1_stage2_audit.py	与旧审计链强绑定，冻结保存
tk_r1_stage2_conditional_shrink.py	archive_only_frozen	tk_r1_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r1_stage2_conditional_shrink.py	与旧审计链强绑定，冻结保存
tk_r2_pocket_apply_audit.py	archive_only_frozen	tk_r2_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r2_pocket_apply_audit.py	与旧审计链强绑定，冻结保存
tk_r2_pocket_shrink.py	archive_only_frozen	tk_r2_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r2_pocket_shrink.py	与旧审计链强绑定，冻结保存
tk_r2_tradelevel_audit.py	archive_only_frozen	tk_r2_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r2_tradelevel_audit.py	与旧审计链强绑定，冻结保存
tk_r3_rr_minwin_audit.py	archive_only_frozen	tk_r3_frozen	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/tk_r3_rr_minwin_audit.py	与旧审计链强绑定，冻结保存
