artifact_file	source_repo_path	repo_path	producer	scope	evidence_mode	status	note
README__from_20_tools_workspace.md	20_tools_workspace/_raw_snapshot_batch09/README.md	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/README__from_20_tools_workspace.md	historical_recovered_archive_absorb_20260709	batch09 tools raw snapshot absorb	historical_recovered	archive_only	保留原目录说明卡，不作为活跃入口
generate_p0_subset.py	20_tools_workspace/_raw_snapshot_batch09/generate_p0_subset.py	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/generate_p0_subset.py	historical_recovered_archive_absorb_20260709	batch09 tools raw snapshot absorb	historical_recovered	already_absorbed_snapshot	原始快照保留，活跃版本已单独吸收
group08_batch2_series_copy.py	20_tools_workspace/_raw_snapshot_batch09/group08_batch2_series_copy.py	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_batch2_series_copy.py	historical_recovered_archive_absorb_20260709	batch09 tools raw snapshot absorb	historical_recovered	archive_only	保留 group08 辅助脚本快照
group08_batch3_topic_copy.py	20_tools_workspace/_raw_snapshot_batch09/group08_batch3_topic_copy.py	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_batch3_topic_copy.py	historical_recovered_archive_absorb_20260709	batch09 tools raw snapshot absorb	historical_recovered	archive_only	保留 group08 辅助脚本快照
group08_batch4_topic_anchor.py	20_tools_workspace/_raw_snapshot_batch09/group08_batch4_topic_anchor.py	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_batch4_topic_anchor.py	historical_recovered_archive_absorb_20260709	batch09 tools raw snapshot absorb	historical_recovered	archive_only	保留 group08 辅助脚本快照
group08_batch5_bookdir_autoresolve.py	20_tools_workspace/_raw_snapshot_batch09/group08_batch5_bookdir_autoresolve.py	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_batch5_bookdir_autoresolve.py	historical_recovered_archive_absorb_20260709	batch09 tools raw snapshot absorb	historical_recovered	archive_only	保留 group08 辅助脚本快照
group08_external_move_postcheck.py	20_tools_workspace/_raw_snapshot_batch09/group08_external_move_postcheck.py	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_external_move_postcheck.py	historical_recovered_archive_absorb_20260709	batch09 tools raw snapshot absorb	historical_recovered	already_absorbed_snapshot	原始快照保留，活跃版本已单独吸收
group08_external_ops_preflight.py	20_tools_workspace/_raw_snapshot_batch09/group08_external_ops_preflight.py	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_external_ops_preflight.py	historical_recovered_archive_absorb_20260709	batch09 tools raw snapshot absorb	historical_recovered	already_absorbed_snapshot	原始快照保留，活跃版本已单独吸收
group08_external_ops_stats.py	20_tools_workspace/_raw_snapshot_batch09/group08_external_ops_stats.py	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_external_ops_stats.py	historical_recovered_archive_absorb_20260709	batch09 tools raw snapshot absorb	historical_recovered	already_absorbed_snapshot	原始快照保留，活跃版本已单独吸收
group08_generate_delete_refs_cleanup.py	20_tools_workspace/_raw_snapshot_batch09/group08_generate_delete_refs_cleanup.py	12_tooling_runtime_archive/batch_121_tools_raw_snapshot_batch09_absorb__20260709/00_raw_snapshot/tools_raw_snapshot_batch09/group08_generate_delete_refs_cleanup.py	historical_recovered_archive_absorb_20260709	batch09 tools raw snapshot absorb	historical_recovered	archive_only	保留 group08 收尾脚本快照
