"room_name","rank_in_room_top5","stock_code_6d","raw_freq_note","T_plus_1_close_pct","T_plus_2_close_pct","T_plus_1_intraday_high_pct","consecutive_limit_up_days","notes"
"复盘哥","1","","","","","","",""
"复盘哥","2","","","","","","",""
"复盘哥","3","","","","","","",""
"复盘哥","4","","","","","","",""
"复盘哥","5","","","","","","",""
"独家老师5号","1","","","","","","",""
"独家老师5号","2","","","","","","",""
"独家老师5号","3","","","","","","",""
"独家老师5号","4","","","","","","",""
"独家老师5号","5","","","","","","",""
"独家短线老师6号","1","","","","","","",""
"独家短线老师6号","2","","","","","","",""
"独家短线老师6号","3","","","","","","",""
"独家短线老师6号","4","","","","","","",""
"独家短线老师6号","5","","","","","","",""
"梅森","1","688981","688981:1","","","","",""
"梅森","2","","","","","","",""
"梅森","3","","","","","","",""
"梅森","4","","","","","","",""
"梅森","5","","","","","","",""
"顺势而为","1","","","","","","",""
"顺势而为","2","","","","","","",""
"顺势而为","3","","","","","","",""
"顺势而为","4","","","","","","",""
"顺势而为","5","","","","","","",""
"混江龙","1","","","","","","",""
"混江龙","2","","","","","","",""
"混江龙","3","","","","","","",""
"混江龙","4","","","","","","",""
"混江龙","5","","","","","","",""
"天赢居","1","","","","","","",""
"天赢居","2","","","","","","",""
"天赢居","3","","","","","","",""
"天赢居","4","","","","","","",""
"天赢居","5","","","","","","",""
"先知","1","","","","","","",""
"先知","2","","","","","","",""
"先知","3","","","","","","",""
"先知","4","","","","","","",""
"先知","5","","","","","","",""
"天机","1","","","","","","",""
"天机","2","","","","","","",""
"天机","3","","","","","","",""
"天机","4","","","","","","",""
"天机","5","","","","","","",""
"游资胖大叔","1","","","","","","",""
"游资胖大叔","2","","","","","","",""
"游资胖大叔","3","","","","","","",""
"游资胖大叔","4","","","","","","",""
"游资胖大叔","5","","","","","","",""
"潜伏王者","1","","","","","","",""
"潜伏王者","2","","","","","","",""
"潜伏王者","3","","","","","","",""
"潜伏王者","4","","","","","","",""
"潜伏王者","5","","","","","","",""
"k神","1","","","","","","",""
"k神","2","","","","","","",""
"k神","3","","","","","","",""
"k神","4","","","","","","",""
"k神","5","","","","","","",""
"周期女王","1","600487","600487:4  002384:4  600176:3  300502:2  600938:2","","","","",""
"周期女王","2","002384","600487:4  002384:4  600176:3  300502:2  600938:2","","","","",""
"周期女王","3","600176","600487:4  002384:4  600176:3  300502:2  600938:2","","","","",""
"周期女王","4","300502","600487:4  002384:4  600176:3  300502:2  600938:2","","","","",""
"周期女王","5","600938","600487:4  002384:4  600176:3  300502:2  600938:2","","","","",""
"格兰投研","1","603078","603078:2  600438:2  603063:2","","","","",""
"格兰投研","2","600438","603078:2  600438:2  603063:2","","","","",""
"格兰投研","3","603063","603078:2  600438:2  603063:2","","","","",""
"格兰投研","4","","","","","","",""
"格兰投研","5","","","","","","",""
"擒龙小师姐","1","000428","000428:1","","","","",""
"擒龙小师姐","2","","","","","","",""
"擒龙小师姐","3","","","","","","",""
"擒龙小师姐","4","","","","","","",""
"擒龙小师姐","5","","","","","","",""
"独家竞价低吸","1","","","","","","",""
"独家竞价低吸","2","","","","","","",""
"独家竞价低吸","3","","","","","","",""
"独家竞价低吸","4","","","","","","",""
"独家竞价低吸","5","","","","","","",""
"小锦鲤","1","301234","301234:1","","","","",""
"小锦鲤","2","","","","","","",""
"小锦鲤","3","","","","","","",""
"小锦鲤","4","","","","","","",""
"小锦鲤","5","","","","","","",""
"核心逻辑社","1","","","","","","",""
"核心逻辑社","2","","","","","","",""
"核心逻辑社","3","","","","","","",""
"核心逻辑社","4","","","","","","",""
"核心逻辑社","5","","","","","","",""
"梦幻一步","1","","","","","","",""
"梦幻一步","2","","","","","","",""
"梦幻一步","3","","","","","","",""
"梦幻一步","4","","","","","","",""
"梦幻一步","5","","","","","","",""
"新生代","1","","","","","","",""
"新生代","2","","","","","","",""
"新生代","3","","","","","","",""
"新生代","4","","","","","","",""
"新生代","5","","","","","","",""
"龙头交易猿","1","","","","","","",""
"龙头交易猿","2","","","","","","",""
"龙头交易猿","3","","","","","","",""
"龙头交易猿","4","","","","","","",""
"龙头交易猿","5","","","","","","",""
"小作文嗅嗅+机构研报","1","688702","688702:4  300308:3  002384:2  688256:2  688836:2","","","","",""
"小作文嗅嗅+机构研报","2","300308","688702:4  300308:3  002384:2  688256:2  688836:2","","","","",""
"小作文嗅嗅+机构研报","3","002384","688702:4  300308:3  002384:2  688256:2  688836:2","","","","",""
"小作文嗅嗅+机构研报","4","688256","688702:4  300308:3  002384:2  688256:2  688836:2","","","","",""
"小作文嗅嗅+机构研报","5","688836","688702:4  300308:3  002384:2  688256:2  688836:2","","","","",""
