i_day(1~60),CLOSE_fixed,MA5,MA10,MA20,EMA12,EMA26,DIF,DEA,MACD_BAR_x2,RSI6,RSI12,RSI14,RSI24,"BOLL_U(20,2σ)",BOLL_M(MA20),"BOLL_L(20,2σ)"
1,101.0000,,,,101.0000000000,101.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,,
2,102.5000,,,,101.2307692308,101.1111111111,0.1196581197,0.0239316239,0.1914529915,,,,,,,
3,103.2000,,,,101.5337278107,101.2658436214,0.2678841893,0.0727221370,0.3903241045,,,,,,,
4,105.8000,,,,102.1900773782,101.6017070569,0.5883703214,0.1758517739,0.8250370950,,,,,,,
5,106.1000,103.7200000000,,,102.7916039354,101.9349139415,0.8566899939,0.3120194179,1.0893411521,,,,,,,
6,107.3000,104.9800000000,,,103.4852033300,102.3323277236,1.1528756063,0.4801906556,1.3453699015,,,,,,,
7,108.9000,106.2600000000,,,104.3182489715,102.8188219663,1.4994270052,0.6840379255,1.6307781594,99.9999999999,,,,,,
8,110.4000,107.7000000000,,,105.2539029759,103.3803907096,1.8735122663,0.9219327937,1.9031589453,99.9999999999,,,,,,
9,112.0000,108.9400000000,,,106.2917640565,104.0188802866,2.2728837699,1.1921229889,2.1615215620,99.9999999999,,,,,,
10,113.6000,110.4400000000,107.0800000000,,107.4161080478,104.7285928580,2.6875151898,1.4912014291,2.3926275215,99.9999999999,,,,,,
11,115.2000,112.0200000000,108.5000000000,,108.6136298866,105.5042526463,3.1093772403,1.8148365913,2.5890812980,99.9999999999,,,,,,
12,116.8000,113.6000000000,109.9300000000,,109.8730714425,106.3409746725,3.5320967700,2.1582886271,2.7476162859,99.9999999999,,,,,,
13,118.4000,115.2000000000,111.4500000000,,111.1849066052,107.2342358079,3.9506707974,2.5167650611,2.8678114724,99.9999999999,99.9999999999,,,,,
14,120.0000,116.8000000000,112.8700000000,,112.5410748198,108.1798479702,4.3612268496,2.8856574188,2.9511388615,99.9999999999,99.9999999999,,,,,
15,121.5000,118.3800000000,114.4100000000,,113.9193710014,109.1665258984,4.7528451030,3.2590949557,2.9875002947,99.9999999999,99.9999999999,99.9999999999,,,,
16,123.1000,119.9600000000,115.9900000000,,115.3317754627,110.1986350911,5.1331403716,3.6339040388,2.9984726655,99.9999999999,99.9999999999,99.9999999999,,,,
17,124.7000,121.5400000000,117.5700000000,,116.7730407761,111.2728102695,5.5002305066,4.0071693324,2.9861223484,99.9999999999,99.9999999999,99.9999999999,,,,
18,126.2000,123.1000000000,119.1500000000,,118.2233421952,112.3785280273,5.8448141678,4.3746982995,2.9402317367,99.9999999999,99.9999999999,99.9999999999,,,,
19,127.8000,124.6600000000,120.7300000000,,119.6966741652,113.5208592846,6.1758148806,4.7349216157,2.8817865298,99.9999999999,99.9999999999,99.9999999999,,,,
20,129.3000,126.2200000000,122.3000000000,114.6900000000,121.1741089090,114.6896845228,6.4844243862,5.0848221698,2.7992044328,99.9999999999,99.9999999999,99.9999999999,,132.1118139124,114.6900000000,97.2681860876
21,130.9000,127.7800000000,123.8700000000,116.1850000000,122.6703998461,115.8904486322,6.7799512139,5.4238479786,2.7122064705,99.9999999999,99.9999999999,99.9999999999,,133.7818491498,116.1850000000,98.5881508502
22,132.4000,129.3200000000,125.4300000000,117.6800000000,124.1672614082,117.1133783631,7.0538830451,5.7498549919,2.6080561063,99.9999999999,99.9999999999,99.9999999999,,135.4518428982,117.6800000000,99.9081571018
23,133.9000,130.8600000000,126.9800000000,119.2150000000,125.6646058069,118.3568318177,7.3077739892,6.0614387914,2.4926703957,99.9999999999,99.9999999999,99.9999999999,,137.0222204457,119.2150000000,101.4077795543
24,135.4000,132.3800000000,128.5200000000,120.6950000000,127.1623587597,119.6192887201,7.5430700396,6.3577650410,2.3706099972,99.9999999999,99.9999999999,99.9999999999,,138.7153745799,120.6950000000,102.6746254201
25,136.8000,133.8800000000,130.0500000000,122.2300000000,128.6450727967,120.8919340001,7.7531387966,6.6368397921,2.2325980089,99.9999999999,99.9999999999,99.9999999999,99.9999999999,140.2461150085,122.2300000000,104.2138849915
26,138.3000,135.3600000000,131.5700000000,123.7800000000,130.1304462126,122.1814203705,7.9490258421,6.8992770021,2.0994976800,99.9999999999,99.9999999999,99.9999999999,99.9999999999,141.7254283872,123.7800000000,105.8345716128
27,139.7000,136.8200000000,133.0700000000,125.3200000000,131.6026852568,123.4790929356,8.1235923212,7.1441400659,1.9589045105,99.9999999999,99.9999999999,99.9999999999,99.9999999999,143.1794064851,125.3200000000,107.4605935149
28,141.1000,138.2600000000,134.5600000000,126.8550000000,133.0638106019,124.7843453107,8.2794652912,7.3712051110,1.8165203603,99.9999999999,99.9999999999,99.9999999999,99.9999999999,144.5979958012,126.8550000000,109.1120041988
29,142.5000,139.6800000000,136.0300000000,128.3800000000,134.5155320478,126.0966160285,8.4189160193,7.5807472927,1.6763374533,99.9999999999,99.9999999999,99.9999999999,99.9999999999,145.9961970924,128.3800000000,110.7638029076
30,143.8000,141.0800000000,137.4800000000,129.8900000000,135.9439117327,127.4079778041,8.5359339286,7.7717846198,1.5282986175,99.9999999999,99.9999999999,99.9999999999,99.9999999999,147.3564134842,129.8900000000,112.4235865158
31,145.1000,142.4400000000,138.9000000000,131.3850000000,137.3525406969,128.7184979668,8.6340427301,7.9442362419,1.3796129765,99.9999999999,99.9999999999,99.9999999999,99.9999999999,148.6837022635,131.3850000000,114.0862977365
32,146.4000,143.7800000000,140.3000000000,132.8650000000,138.7444575128,130.0282388581,8.7162186546,8.0986327244,1.2351718604,99.9999999999,99.9999999999,99.9999999999,99.9999999999,149.9830927676,132.8650000000,115.7469072324
33,147.6000,145.0800000000,141.6700000000,134.3250000000,140.1068486647,131.3298507946,8.7769978701,8.2343057536,1.0853842330,99.9999999999,99.9999999999,99.9999999999,99.9999999999,151.2388848287,134.3250000000,117.4111151713
34,148.8000,146.3400000000,143.0100000000,135.7650000000,141.4442565624,132.6239359209,8.8203206415,8.3515087312,0.9376238207,99.9999999999,99.9999999999,99.9999999999,99.9999999999,152.4577858670,135.7650000000,119.0722141330
35,150.0000,147.5800000000,144.3300000000,137.1900000000,142.7605247836,133.9110517786,8.8494730050,8.4511015859,0.7967428381,99.9999999999,99.9999999999,99.9999999999,99.9999999999,153.6324937281,137.1900000000,120.7475062719
